recete_no,islem_adi,teorik_sure_dk,adim_sayisi,t_kimyasal,t_boya
6017,ENZİMLİ KASAR 95 DERECE,216,28,5,0
6018,ENZİMSİZ KASAR 95 DERECE,136,23,5,0
6019,KOSTİK PATLATMA 110 DERECE,128,12,3,0
6100,VİSCON TUZ BAŞTAN 80-60 TEK SODA,240,15,0,0
6101,PAMUK AÇIK RENK BOYA BAŞTAN,234,17,2,0
6102,PAMUK ORTA RENK BOYA BAŞTAN,217,16,2,0
6103,TUZ BAŞTAN KOYU RENK BOYAMA,190,17,0,0
6104,BOYA BAŞTAN KOYU RENK BOYAMA,232,18,2,0
6105,VİSCON TUZ BAŞTAN ÇİFT SODALI,193,14,1,0
6106,BOYA BAŞTAN MİGRASYON BOYAMA,266,19,2,0
6107,MİGRASYON BOYAMA,321,18,2,0
6108,RSP SAX BOYAMA,273,15,2,0
6109,PAMUK TUZ BAŞTAN 80-60 SODA YALKALI,263,15,0,0
6110,TUZ BAŞTAN 60-80 KOYU RENK BOYAMA,228,16,0,0
6120,VİSCON BOYA BAŞTAN,233,16,2,0
6130,80-60-80 TURKUAZ BOYAMA,283,18,2,0
6135,ÖZEL TURKUAZ 80-60 BOYAMA,283,21,2,0
6140,BOYA BAŞTAN 80-80 BOYAMA,229,15,2,0
6150,TUZ BAŞTAN 80-80 BOYAMA,237,12,0,0
6200,PAMUK KOYU RENK YIKAMA,165,28,3,0
6201,PAMUK ORTA RENK YIKAMA,141,26,3,0
6202,PAMUK AÇIK RENK YIKAMA,111,20,2,0
6500,ŞEKER KASARI ENZİMLİ,229,28,5,0
6501,ŞEKER KASARI ENZİMSİZ,187,25,5,0
6800,POLYESTER AÇIK RENK BOYAMA 2,148,14,2,0
6801,POLYESTER ORTA RENK TEK BANYO BOYAMA,186,16,2,0
7000,POLYESTER AÇIK RENK BOYAMA,191,18,3,0